Test nr. 1
Seconds, X, Y, Z
1,2,-0,05859375,-0,142334,-1,032013
1,3,-0,06225586,-0,1467285,-1,007355
1,4,-0,06494141,-0,1503906,-1,003448
1,5,-0,06689453,-0,1516113,-0,9963683
1,6,-0,06591797,-0,1477051,-0,9978332
1,7,-0,06665039,-0,1477051,-1,000031
1,8,-0,06445313,-0,1472168,-0,9973449
1,9,-0,06518555,-0,1479492,-0,9983215
Test nr. 7
Seconds, X, Y, Z
0,-0,2023926,-0,3393555,-1,099152
0,1,-0,1325684,-0,2915039,-0,9502258
0,2,-0,1804199,-0,2954102,-0,8713684
0,3,-0,09570313,-0,1630859,-0,5625305
0,4,-0,2062988,-0,08813477,-0,5398254
0,5,-0,0002441406,0,01245117,0,001220703
0,6,-5,273346,0,9360657,-7,939453
0,7,-0,02514648,0,01000977,-0,03833008
0,8,-1,897766,1,007599,-3,16684
0,9,0,01708984,0,06274414,-0,2167969
1,-0,3647461,-0,2900391,-0,9004211
1,1,0,08935547,-0,2287598,-0,5290833
1,2,-0,046875,-0,1723633,-0,9460754
1,3,-0,0390625,-0,1647949,-1,004181
1,4,-0,04394531,-0,1687012,-1,001495
1,5,-0,04052734,-0,1655273,-1,002716
1,6,-0,04272461,-0,1621094,-0,9961243
1,7,-0,04223633,-0,1567383,-0,9927063
1,8,-0,04321289,-0,1657715,-1,002228
1,9,-0,04663086,-0,1650391,-0,9995422
Test nr. 8
Seconds, X, Y, Z
0,-0,1450195,-0,246582,-0,9519348
0,1,-0,2666016,-0,09765625,-0,8611145
0,2,0,03637695,-0,130127,-0,8213196
0,3,-0,01708984,-0,01171875,-0,04711914
0,4,0,08886719,0,2277832,-0,5630188
0,5,-0,003417969,0,078125,0,00390625
0,6,-0,4294434,1,979797,-7,99414
0,7,-0,02050781,-0,3845215,0,2346191
0,8,-0,1374512,-0,2497559,0,09472656
0,9,-0,2412109,-0,0612793,-1,357697
1,-0,06567383,-0,1188965,-0,9980774
1,1,-0,1040039,-0,1296387,-0,9804993
1,2,-0,1022949,-0,1323242,-0,9900208
1,3,-0,09790039,-0,130127,-0,9995422
1,4,-0,09643555,-0,1291504,-0,9978332
1,5,-0,09741211,-0,1264648,-1,001984
1,6,-0,09350586,-0,1281738,-0,9966125
1,7,-0,09790039,-0,1335449,-0,9985657
1,8,-0,08911133,-0,1298828,-0,9924621
1,9,-0,0949707,-0,1296387,-1,005646
Test nr. 9
Seconds, X, Y, Z
0,-0,1918945,-0,2915039,-0,8677062
0,1,-0,1665039,-0,2346191,-0,6506653
0,2,-0,01123047,0,01391602,-0,01782227
0,3,-0,001220703,0,0078125,-0,02490234
0,4,0,0,07324219,-0,03833008
0,5,0,04077148,0,01245117,-0,3117676
0,6,1,014679,-1,411407,-1,261749
0,7,-0,3769531,-0,04956055,-0,7888489
0,8,-0,230957,-0,02636719,-0,6611633
0,9,-0,04956055,-0,2058105,-0,9765931
1,-0,06835938,-0,1586914,-1,01004
1,1,-0,06323242,-0,1645508,-0,9971008
1,2,-0,06298828,-0,1647949,-1,000275
1,3,-0,0637207,-0,159668,-0,9944152
1,4,-0,06518555,-0,1669922,-0,9980774
1,5,-0,078125,-0,1762695,-0,9751282
1,6,-0,05908203,-0,1601563,-1,006622
1,7,-0,06616211,-0,1635742,-1,001007
1,8,-0,06787109,-0,1699219,-1,000275
1,9,-0,06518555,-0,1621094,-0,9966125
Test nr. 10
Seconds, X, Y, Z
0,-0,2766113,-0,1806641,-0,9353333
0,1,-0,2365723,-0,1618652,-0,9770814
0,2,-0,2470703,-0,1494141,-0,9536437
0,3,-0,1711426,-0,04541016,-0,7939758
0,4,-0,03295898,0,01220703,-0,01757813
0,5,0,03955078,0,01464844,-0,02880859
0,6,0,232666,0,07836914,0,04760742
0,7,-0,0222168,0,1030273,-0,1489258
0,8,0,01855469,0,7104797,-0,9646301
0,9,0,04736328,0,1171875,-0,8430481
1,-0,4213867,-1,147736,-0,8638
1,1,-0,2209473,0,02026367,-0,8638
1,2,0,03051758,-0,1225586,-1,169464
1,3,-0,07568359,-0,1040039,-1,026398
1,4,-0,08398438,-0,1013184,-1,015411
1,5,-0,09008789,-0,1032715,-0,9927063
1,6,-0,06591797,-0,1010742,-0,9602356
1,7,-0,09301758,-0,08789063,-0,9856262
1,8,-0,08813477,-0,09716797,-1,003204
1,9,-0,09814453,-0,1005859,-1,004669
